Id,Triple,Label
123,9163 mmff 14965,1
124,8745 television 17696,0
125,9514 week 26880,0
126,35156 youth 34907,0
127,19247 assemblyconstituencies 27890,1
128,41963 related 18516,0
129,6015 homeTown 18684,0
130,42420 deputy 29158,0
131,431 nationalAnthem 4017,0
132,5119 demoCsd 33879,0
133,2991 postseason 6408,1
134,16725 west 5051,1
135,19903 wp 19909,1
136,28493 as 28495,1
137,1249 asstCoach 2121,1
138,43347 ruPosition 3697,1
139,19948 imageCaption 19949,1
140,2564 playerPositions 2286,1
141,21259 establishedTitle 3910,1
142,697 champions 16992,1
143,32756 hometown 34625,1
144,34050 pregroup 34051,1
145,16809 teamc 16810,1
146,1051 winterNext 24411,0
147,42657 level 83,1
148,4663 license 5453,1
149,22750 architecture 3554,1
150,43244 visitorCoach 13862,0
151,3500 post3followed 952,1
152,13287 caption 13299,1
153,24018 stategov 24096,1
154,11371 route 26392,0
155,13663 playerPositions 9235,1
156,35068 t 35071,1
157,34605 base 34607,1
158,37627 nearSw 43805,0
159,21039 architect 17334,1
160,28870 plane1Destination 28871,1
161,36489 debutagainst 19997,0
162,22284 grandsire 9167,1
163,21105 establishedTitle 42525,0
164,38065 homeCoach 38630,1
165,2618 blank1Name 2198,1
166,2327 nearS 2322,1
167,15303 leaderName 39711,0
168,30191 assocCoach 6047,0
169,19656 areaServed 2836,0
170,14629 subregion 14630,1
171,37317 sportingAffiliations 8032,1
172,6965 team(s)_ 6966,1
173,73 officiallyOpenedBy 19738,0
174,13348 nearN 13329,1
175,10362 commander 10365,1
176,1029 brothers 29151,0
177,18053 rb 18057,1
178,43512 coach 43513,1
179,27035 constituencyAm 2585,0
180,13295 nearW 11645,0
181,22328 conferenceTieIns 7415,1
182,12436 stategov 32843,0
183,40414 round 18342,0
184,17367 gamename 34097,0
185,40106 executive 38719,0
186,23449 locationCountry 312,1
187,12065 nobleFamily 12068,1
188,33474 layout 26684,0
189,16130 winterPrev 16129,1
190,36981 event 5875,0
191,6454 constell 6455,1
192,20767 grandsons 20455,0
193,17773 imageCaption 11831,0
194,5663 parent 19673,0
195,43946 towns 20874,0
196,30935 arena 34787,0
197,1251 northeast 1265,1
198,4510 succession 30457,0
199,1614 exchanges 1773,0
200,41194 freeLabel 7606,1
201,3937 conf 40105,1
202,26712 assembly 18772,0
203,3250 south 3254,1
204,14511 sisterNames 37951,1
205,6725 south 6730,1
206,14742 areas 38927,0
207,38977 uicclass 38978,1
208,15296 south 38521,1
209,12952 relations 12954,1
210,7426 cctld 18462,0
211,11686 marchingband 11690,1
212,19277 north 19742,0
213,43538 silver 29850,0
214,6899 branches 13258,0
215,10710 honorificSuffix 10714,1
216,7961 division 27174,1
217,43636 week 23448,0
218,20087 directedby 39007,0
219,25675 thirdTeam 6710,0
220,16711 mmff 27766,0
221,11706 assembly 11711,1
222,14709 elevationMaxPoint 28090,0
223,21458 rd2Team 27694,0
224,30815 lastagainst 30816,1
225,10828 variantsWithTheirOwnArticles 16300,0
226,24481 playerTeam 24483,1
227,39481 gaaleader 8617,0
228,39330 xd 39331,1
229,31171 playoffs 31172,1
230,27791 constituency 4936,0
231,18359 parents 12723,0
232,8202 countryAdminDivisions 1564,0
233,40456 image 15061,0
234,27539 topScorer 30014,1
235,34847 original 13399,0
236,9367 starterSf 14250,0
237,3735 other 167,1
238,36719 damsire 13774,1
239,12048 chairman 12049,1
240,936 data 14012,0
241,15704 visitorCoach 150,1
242,3397 semifinal 41600,0
243,18 demographics1Title 17397,0
244,858 careerPosition 43565,0
245,43615 executiveProducer 43616,1
246,13663 bowlname 8170,1
247,5928 elections 26091,0
248,18967 c 18861,1
249,6025 tribus 30810,0
250,36547 northwest 36554,1
251,41308 championpairs 18215,0
252,8112 away 25979,0
253,390 script 5326,1
254,7655 flower 22404,0
255,34727 homeTeam 34729,1
256,2495 semifinal 2498,1
257,22091 district 14409,0
258,11697 meetingPlace 16215,0
259,18565 north 38677,1
260,14177 south 14180,1
261,4216 deputy 24859,0
262,8214 seat 17631,1
263,13021 end 13023,1
264,37336 bowlname 35086,0
265,34536 youthWing 34538,1
266,40393 l 39093,0
267,6214 seats1Title 10852,0
268,32342 north 3628,1
269,4345 branches 14151,1
270,27393 leagues 1925,1
271,2646 west 16236,0
272,29917 archipelago 38791,0
273,16078 list1. 27882,0
274,19558 createdCardinalBy 19559,1
275,12284 issue 24580,0
276,28651 discipline 28652,1
277,28647 participants 19893,1
278,3446 bowlname 30156,1
279,15424 firstminister 23423,0
280,1327 subunitName 9262,1
281,29055 southeast 29059,1
282,43001 relegated 43002,1
283,30528 stategov 35166,0
284,18029 grandsire 31439,0
285,4448 postseason 18510,0
286,33305 progression 16994,0
287,29671 east 16222,0
288,13802 primeminister 35039,1
289,5777 wp 5785,1
290,7922 designGroup 22952,0
291,15820 tournamentName 15821,1
292,6133 promoted 23237,0
293,31153 blankNameSec 37297,0
294,8368 keyPeople 29436,0
295,8113 competitions 13525,0
296,19081 longestWinless 19085,1
297,14892 blankNameSec 13653,0
298,35045 runner 12032,0
299,9233 qb 22945,1
300,24089 ideology 40294,0
301,20146 moreUsers 40221,1
302,35310 defCoach 29741,0
303,6480 source 6469,1
304,4344 district 25086,1
305,37624 nearS 16055,0
306,39127 team(s)_ 271,1
307,7457 reportsTo 25711,0
308,18272 mvp 18273,1
309,27672 committees 27673,1
310,39720 visitorCoach 1036,1
311,3372 mpParty 9160,1
312,24239 related 24238,1
313,33633 formerTeams 33636,1
314,19038 goals 19042,1
315,5437 gk 31612,1
316,5428 continentalcup3Qualifiers 23239,0
317,40320 fcl 19252,0
318,18934 nearN 31264,0
319,6870 branches 163,0
320,13657 designer 13658,1
321,19331 coach 11063,1
322,43362 mother 43363,1
323,6807 champions 36316,1
324,40789 beforeElection 24979,0
325,10141 horses 16997,1
326,18285 gamename 36692,0
327,15899 licensingAuthority 20304,0
328,43088 captain 38195,0
329,1695 nearestCity 15342,0
330,2315 captain 2317,1
331,8622 mvp 6597,0
332,22107 constituencyWestminster 20554,0
333,23750 towns 11372,0
334,14701 relatives 41174,1
335,4192 gm 15143,1
336,13917 postTown 33101,0
337,23239 namedFor 38411,0
338,16010 lga 8782,1
339,16613 staff 33164,1
340,35606 ruProclubs 21036,1
341,330 demographics2Info 18316,0
342,35443 neighboringMunicipalities 30279,1
343,42949 with 36381,0
344,37638 nearE 41740,0
345,35662 cteam 20985,0
346,36931 constituency 36932,1
347,14457 incumbent 14464,1
348,19274 imagecaption 19270,1
349,8753 issue 35952,0
350,24008 primeminister 20517,0
351,40731 nearS 40744,1
352,17672 related 26671,0
353,15001 commandStructure 10253,1
354,31951 commonLanguages 3630,1
355,31276 leaderName 26806,0
356,36938 rd3t2Loc 9776,1
357,23414 aux 26339,0
358,36793 week 36799,1
359,36521 affiliates 32216,1
360,21902 southeast 41373,0
361,14442 nearNe 14446,1
362,15643 issue 30681,1
363,41190 leader2Name 30391,0
364,32661 neighboringMunicipalities 32666,1
365,19322 leagueTopscorer 38698,0
366,15781 mascot 19996,1
367,34719 mp 34721,1
368,5715 county 5343,0
369,8941 mvp 13232,0
370,33136 shireCounty 4413,1
371,1475 southeast 1477,1
372,35125 west 41965,1
373,9223 historicSeat 7229,0
374,10892 nearestTown 3604,1
375,5625 wikiLinks 38830,0
376,41886 mvp 20118,0
377,12087 northwest 2528,0
378,5351 related 5367,1
379,26663 north 32636,0
380,19614 mascot 35766,1
381,10027 nearW 10029,1
382,22487 division 6572,1
383,40923 chamber1Leader 20376,0
384,7122 topGoalscorer 42340,1
385,7700 west 10153,1
386,8791 ownerNames 15954,0
387,8727 bishop 17299,0
388,31545 merger 31552,1
389,31274 gm 28808,0
390,30064 recruit 30084,1
391,8221 bowlname 8216,1
392,32196 teams 34429,0
393,37265 starterSf 36137,0
394,40288 nearNw 40249,1
395,1006 stepsons 39389,0
396,21970 house 31424,0
397,42446 athletics 2093,1
398,8720 voices 8666,1
399,24909 debutleague 43225,1
400,13354 east 13376,1
401,33521 host 33522,1
402,22853 caption 20920,0
403,23258 anthem 23259,1
404,33025 affiliation 36583,0
405,29573 captain 17584,1
406,6750 west 23297,1
407,6890 poll 1514,0
408,7476 recruit 19472,0
409,26989 airForce 38938,0
410,17137 ncaatourney 17139,1
411,25822 r1Surface 25826,1
412,40994 sponsor 40996,1
413,24579 coach 10502,1
414,10868 jurisdiction 10870,1
415,23519 wp 23521,1
416,6303 southwest 17996,0
417,31519 finalteam 33671,0
418,5177 raceType 5179,1
419,41379 adoptivefather 39474,0
420,38544 tvannouncers 25835,1
421,30398 voicedBy 37224,0
422,18770 bench1Sg 18774,1
423,5133 chairman 15731,0
424,22257 controlledby 12216,0
425,29153 honorificSuffix 29161,1
426,1029 grandparents 18513,0
427,15099 honorificSuffix 15103,1
428,40602 employer 6532,0
429,7649 namesake 19285,0
430,32805 ruProclubs 38531,0
431,13757 architecturalStyle 13759,1
432,31132 inaugural 37876,0
433,42350 namesake 25577,0
434,28985 imagecaption 4103,1
435,31506 placeOfBurial 15738,1
436,4290 competition 36579,0
437,2477 northeast 23466,1
438,21849 deputy 26609,1
439,8770 usAnnouncers 12112,0
440,1032 usAnnouncers 25810,0
441,13532 chronology 222,0
442,38187 tour 20619,0
443,30531 precededBy 30502,1
444,42928 origLang 5350,0
445,10119 text 36274,1
446,40840 cooffCoach 16394,0
447,8575 poll 39602,0
448,15887 diocese 19013,0
449,33516 aircraftElectronic 10788,0
450,668 tvstation 672,1
451,4051 rite 20289,0
452,26661 class 18151,0
453,9206 mpCategory 1515,0
454,11809 serviceType 18743,0
455,6979 runner 11760,1
456,8317 bowlname 20780,0
457,34950 recruit 35246,0
458,1888 coach 1905,1
459,37628 nearW 34657,0
460,8464 unitaryScotland 4610,1
461,3072 deanery 3073,1
462,13284 nearN 5725,0
463,40731 fedgov 12285,1
464,8885 branches 16410,0
465,20225 constituencyAm 14780,0
466,28740 nationalOrigin 29776,0
467,40125 source 12130,1
468,18449 mop 19329,1
469,7729 nearN 33040,0
470,39361 cityServed 3896,1
471,32922 owned 24150,1
472,8305 northeast 6671,0
473,30988 fastDriverR 11927,1
474,43730 architecture 8297,1
475,3031 bowl 22984,0
476,43931 mpCategory 18674,1
477,39542 nflchampion 39543,1
478,17009 cities 17010,1
479,25308 north 25309,1
480,15746 southeast 6211,1
481,5289 leader2Name 36773,0
482,31445 father 37482,0
483,10201 goalie 1900,1
484,41357 constituencyAm 20226,0
485,1755 east 37003,1
486,8246 monarch 7929,0
487,16704 sire 26169,1
488,11320 gpTeams 14801,0
489,783 premier 40344,0
490,17486 primaryUser 33855,0
491,33553 relatives 12725,0
492,37935 formerAffiliations 1675,0
493,43140 east 14429,0
494,5837 line 2052,0
495,6801 finalfourarena 137,1
496,18451 issue 3725,0
497,796 partsType 21220,0
498,17332 basinCountries 312,1
499,8272 nearNw 13369,0
500,11652 anthem 37076,0
501,6402 mop 18601,1
502,14330 mostNominations 23358,0
503,23961 issue 33340,0
504,26686 size 2856,1
505,39824 bowl 21762,0
506,35021 teamb 27391,1
507,33219 nearNw 33220,1
508,40486 playingTeam 7961,0
509,36383 gamename 36384,1
510,25762 seats2Title 7739,1
511,70 builder 72,1
512,7441 blank3NameSec 3183,1
513,4834 related 2455,0
514,11763 variantsWithTheirOwnArticles 11762,1
515,18955 south 42255,0
516,7641 role 17215,0
517,7068 mascot 10583,0
518,730 notableStudents 33609,0
519,613 discharge2Location 29587,1
520,42180 player 42182,1
521,17449 post1preceded 23372,1
522,40387 text 40393,1
523,5305 intercommunality 32895,0
524,33278 people 33280,1
525,5715 county 5716,1
526,18785 champions 12203,0
527,26083 next 26087,1
528,6874 poty 6875,1
529,18542 district 11735,0
530,28279 asstCoach 26874,0
531,677 end 678,1
532,32086 silver 32093,1
533,21670 usNetwork 14235,0
534,14992 shipCountry 7165,1
535,11479 mmff 4244,1
536,6303 wsw 6306,1
537,30798 previousTeam 11041,0
538,43218 winners 43223,1
539,9579 primeminister 23964,0
540,26272 editor 26273,1
541,15296 south 17620,0
542,21911 sooteam 10682,0
543,14326 level 83,1
544,18790 ideology 28686,1
545,11040 affiliates 28653,1
546,312 note 33664,0
547,3054 team(s)_ 39128,0
548,6113 bridge 30459,0
549,39721 kicker 40217,1
550,6563 blank5Info 3426,0
551,30939 northeast 31234,0
552,17157 governor 21033,0
553,4882 successorLine 4884,1
554,12264 founder 26062,1
555,15375 locationCountry 15370,1
556,41298 topGoalScorer 32210,0
557,7514 status 947,0
558,28377 officeholder 21812,0
559,6192 silver 6195,1
560,23805 west 23807,1
561,20319 postseason 18465,0
562,42494 stylisticOrigins 42493,1
563,34539 consort 30978,0
564,22946 t 22947,1
565,1035 mouthLocation 10587,0
566,42809 architecturalStyle 31405,0
567,41022 shipType 41024,1
568,25879 employer 13600,0
569,37996 officeholder 37997,1
570,14334 firstTeam 15486,0
571,10713 parlName 38986,0
572,6818 silver 6820,1
573,7980 relegated 36605,0
574,25727 asstCoach 17154,0
575,15301 visitorCoach 14242,1
576,11037 previousTeam 11041,1
577,19589 northwest 24350,0
578,33361 fmf 25134,0
579,27639 discoverer 27641,1
580,674 neighboringMunicipalities 41804,1
581,34284 goalie 34288,1
582,21834 commands 21838,1
583,17549 preceding 17532,1
584,17013 placeOfBurial 16023,0
585,6685 1rpt2Loc 3173,1
586,1435 playerTeam 21298,1
587,23304 coach 6683,0
588,27295 champion 190,1
589,12349 damsire 40580,0
590,3604 blank2Info 3595,1
591,6969 years 43083,0
592,13865 postseason 6795,1
593,10774 aircraftTanker 10791,1
594,43397 company 18009,1
595,25511 currentConference 25512,1
596,9079 commandStructure 22608,0
597,26916 coach 26918,1
598,38654 movement 36873,0
599,6199 neighboringMunicipalities 6200,1
600,37387 unrankedDivisio 445,1
601,33229 countryAdminDivisions 33230,1
602,19874 homeCoach 25521,1
603,8055 goalsleader 2498,0
604,20576 champStad 20577,1
605,38209 trainer 38211,1
606,1343 north 36883,0
607,37632 nearNe 15608,0
608,8117 mascot 21634,0
609,12967 languages 16126,1
610,8402 prevteam 16854,0
611,22003 religiousAffiliation 35607,0
612,31317 nearN 31318,1
613,13266 namedFor 13322,1
614,21697 stat1label 21698,1
615,8626 bishop 8637,1
616,11737 leadersSeat 959,1
617,21339 prevSeries 16823,1
618,3268 fedgov 19424,0
619,5951 nearN 30452,0
620,5727 civilParish 27104,0
621,37801 structure 16385,0
622,11922 fastTeamR 11801,0
623,17111 caption 25725,0
624,35849 majorsites 35850,1
625,27523 union 1592,1
626,36643 workInstitutions 30398,0
627,35110 shireDistrict 38526,1
628,39857 syndicate 36840,0
629,8349 locationCity 386,1
630,26310 mvp 3440,0
631,31320 bronze 3653,0
632,12300 iptvServ 43045,0
633,2909 sisterNames 2910,1
634,31393 chronology 1272,0
635,30732 first 11717,0
636,3686 northeast 36555,0
637,32225 asstCoach 32231,1
638,7579 image 1623,0
639,15698 teame 14176,1
640,22062 style 26782,0
641,27952 province 8299,1
642,29410 stategov 19044,1
643,29853 leaderName 23041,0
644,29132 keyPeople 35611,0
645,20320 supportedPlatforms 20758,0
646,6994 next 6992,1
647,22647 unrankedOrdo 1397,1
648,39682 asstCoach 33795,1
649,9098 leaderName 9107,1
650,35021 arena 35023,1
651,30735 secondTeam 26687,0
652,43457 competitions 43460,1
653,13278 nearW 13211,1
654,18843 runnerUp 18850,1
655,23626 afterElection 39836,0
656,27381 channel 31396,0
657,24644 mvp 39970,0
658,18770 bench1C 18785,1
659,1999 bowlname 18843,0
660,4784 sisterNames 12424,0
661,16288 e 13228,0
662,817 allies 823,1
663,6555 northeast 22546,1
664,7 demographics1Title 15,1
665,1363 directedby 32775,0
666,39240 prizes 39244,1
667,11158 northwest 10023,0
668,28378 commentators 28381,1
669,17766 scope 43690,1
670,26160 purpose 26163,1
671,40656 asstCoach 23871,0
672,32261 caption 36201,0
673,8983 usAnnouncers 8944,1
674,17609 translitLang2Type 815,1
675,27733 homeConference 34684,0
676,11171 honorificPrefix 10349,0
677,39885 offCoach 31916,0
678,33236 gamename 1548,1
679,12557 coach 33553,0
680,5840 leaderName 26101,0
681,32393 cteam 33558,0
682,23298 homeCoach 28064,0
683,17242 north 22253,0
684,19540 postseason 27660,0
685,9446 s 31625,0
686,43857 romances 21093,0
687,6401 semifinal 28843,0
688,16992 hometown 24380,0
689,13296 riding 13641,0
690,18251 gamename 19698,1
691,34856 runnerUp 34857,1
692,42571 topGoalScorer 20806,0
693,19719 founder 23771,0
694,14915 next 14916,1
695,25814 holder 25816,1
696,42309 topGoalScorer 26034,0
697,13386 rivals 17309,0
698,19102 image 441,1
699,29563 firstRiderSidecar 29565,1
700,15022 founder 30449,0
701,5938 nearN 5941,1
702,7899 nearNe 40943,0
703,38253 visitorCoach 42507,0
704,1760 instruments 12699,0
705,28888 presenter 5813,1
706,6731 age 6734,1
707,35338 parent 10270,0
708,1108 satServ 1109,1
709,23360 leaderName 5119,1
710,11366 father 11370,1
711,25799 commandStructure 8291,1
712,22738 bowlname 12811,0
713,14179 seat 10461,1
714,4109 org 4110,1
715,13615 nationalolympiccom 13182,1
716,3295 west 3282,1
717,4121 neighboringMunicipalities 24700,1
718,6950 rd5t1Loc 11990,0
719,5762 homepasser 5764,1
720,14743 north 3542,1
721,43749 asstcoach 36958,0
722,34332 commander 37228,1
723,4538 broadcastArea 2711,0
724,9900 ideology 37986,0
725,14094 demoCd 30092,0
726,30919 surface 10393,0
727,32361 armiger 13533,0
728,9150 founder 37802,0
729,8768 usAnnouncers 493,1
730,5420 tvstation 7600,0
731,36989 route 33454,1
732,20113 list1. 27886,1
733,21176 groupset 36928,0
734,21339 prevSeries 18626,0
735,8343 currentTeam 5581,1
736,23848 prev 15434,0
737,30737 nearestCity 49,0
738,24353 parent 24439,1
739,40407 first 20327,0
740,40462 firstIncumbent 37517,0
741,11614 broadcastArea 11615,1
742,13287 nearNw 13052,0
743,4249 mmf 39502,0
744,38107 locationCountry 5202,0
745,7211 playerTeam 42405,0
746,25446 usAnnouncers 36173,1
747,21521 nearW 21525,1
748,12877 extendedTo 12880,1
749,15950 subdivisionRanks 1827,1
750,18323 receiver 26535,0
751,24369 parent 24370,1
752,37106 captain 36366,0
753,25919 taxDomain 175,1
754,2731 listing 2739,1
755,12518 buildingType 40132,1
756,21162 cup2Result 28047,0
757,31656 usNetwork 298,1
758,17584 colleges 17585,1
759,8808 coach 8809,1
760,33292 scripture 12855,0
761,876 members 38748,0
762,28561 tributariesRight 42307,0
763,1362 champions 1248,1
764,12554 alongside 22916,0
765,22179 southeast 22184,1
766,11658 playerPositions 11661,1
767,18016 visitorCoach 822,0
768,360 conf 122,1
769,6579 camera 18431,0
770,4784 nearE 33422,1
771,2724 meetingPlace 27239,0
772,7697 northwest 6094,0
773,18064 captain 23282,0
774,35350 spouses 3589,0
775,39603 1namedata 15430,0
776,24791 collectionmethod 24793,1
777,17812 keyPeople 21004,0
778,2437 dates 2337,1
779,19290 identificationSymbolLabel 19292,1
780,18622 seasonChamps 18244,0
781,33898 lyrics 33901,1
782,26301 homeState 4215,1
783,23779 subunitName 38366,1
784,21117 leader3Type 21118,1
785,471 statlabel 35580,0
786,42024 beforeElection 34750,0
787,33812 playingTeam 10265,1
788,24680 tvstation 4282,1
789,9950 ne 10080,1
790,37251 cteam 35229,0
791,23188 house 23190,1
792,7131 leaderName 38930,0
793,32068 seat 2478,1
794,41344 alliances 42978,0
795,39570 junction 24362,0
796,34068 goalie 35918,0
797,5673 lga 25846,0
798,27296 assist 27302,1
799,42803 breeder 34112,0
800,17860 alongside 13888,0
801,25630 lieutenant 25631,1
802,9779 governmentType 344,1
803,5912 nearNw 5923,1
804,34003 sponsors 14199,0
805,7196 chairman 4895,0
806,2991 postseason 3109,1
807,6549 neareststarname 11957,0
808,3118 rd2Team 30565,0
809,39752 team2Twenty20sMostRuns 5585,0
810,1680 subgroup 1601,0
811,7270 commands 18465,0
812,41360 leagueTopscorer 41361,1
813,12979 deputy 24163,1
814,38692 third 38694,1
815,22527 third 26861,0
816,32978 fcl 32996,1
817,24924 keyPeople 2617,0
818,7354 beforeElection 7355,1
819,38721 postseason 19038,0
820,22141 alliances 31137,1
821,34498 winners 10821,1
822,38389 alongside 35234,0
823,40783 nearW 40785,1
824,27802 con 28835,0
825,39937 strokes 35843,0
826,15140 affiliations 19921,0
827,10939 municipality 10941,1
828,28499 south 36153,0
829,30528 stategov 26616,1
830,30589 continentalcup3Qualifiers 17771,1
831,931 goalie 17054,0
832,20703 mp 16471,1
833,5816 relegated 36117,0
834,7335 strokes 19351,0
835,291 mop 297,1
836,37901 championladies 37814,0
837,11564 creator 11565,1
838,41026 promoted 41027,1
839,8749 previous 8746,1
840,16242 receiver 10523,0
841,22407 nearW 28234,1
842,41341 unrankedOrdo 15166,0
843,23304 semifinal 31972,0
844,37688 otherparty 34566,0
845,23518 supportedPlatforms 20756,0
846,13917 shireDistrict 13934,1
847,40586 continentalcup1Qualifiers 30902,0
848,17626 timezone1Dst 31828,0
849,15643 line 30679,1
850,14773 primeminister 14778,1
851,21270 northeast 21271,1
852,5287 chronology 5288,1
853,17872 tyres 1626,1
854,21055 runnerUp 21056,1
855,12135 asstCoach 22209,1
856,29186 level 29188,1
857,37456 events 37460,1
858,6969 team(s)_ 38044,1
859,32276 leader1Name 32279,1
860,2757 goalie 32757,1
861,42180 player 34460,0
862,31276 leaderName 12798,0
863,14837 honorificPrefix 24159,1
864,9654 postseason 8486,1
865,31317 stategov 28478,1
866,5424 stat2label 31028,0
867,6423 northeast 6431,1
868,430 nearSw 8496,0
869,5311 west 5312,1
870,12467 leaderName 34624,0
871,2731 listing 2740,1
872,39792 runnerUp 39793,1
873,29098 religiousAffiliation 5839,1
874,41020 south 11360,0
875,41598 imageCaption 3331,0
876,42676 seasonTopscorer 27404,0
877,40273 nearW 6978,0
878,3511 patron 41033,0
879,52 next 3858,0
880,40524 nearE 4407,0
881,16925 equipment 38634,0
882,27985 gamename 20473,0
883,1654 round 9895,0
884,20955 principal 39324,1
885,19955 terminusB 38478,0
886,6468 nearSe 38576,0
887,18393 cteam 19140,1
888,4867 county 6121,0
889,33990 cities 14657,0
890,39377 postalCode 22271,0
891,33763 se 24296,1
892,21810 list1. 41518,1
893,25358 subdivisio 25359,1
894,7980 descendantArts 7982,1
895,30471 champions 41745,0
896,41675 hqLocationCity 5243,1
897,11252 east 11046,1
898,41255 coach 34459,0
899,13230 recordTeam 13231,1
900,4141 parent 4149,1
901,21988 commander 21994,1
902,4454 father 305,0
903,12818 mouth 24488,0
904,37280 diocese 25904,0
905,6685 1rpt2Loc 15924,0
906,25658 bishopric 43795,0
907,42 themeMusicComposer 388,0
908,41622 nearSw 41623,1
909,14013 careerPosition 39830,0
910,4204 south 34836,1
911,20220 postseason 41544,1
912,17109 ballpark 24607,0
913,25148 champions 25150,1
914,25524 runner 32300,1
915,22258 governmentType 43554,0
916,25767 mostAwards 25769,1
917,8465 localCouncilLabel 38734,0
918,35353 cableServ 35354,1
919,21705 west 11250,0
920,8049 relations 42608,0
921,43899 influences 33005,0
922,34498 winners 9295,0
923,11653 northwest 11657,1
924,30591 namedFor 15514,0
925,20917 tributariesRight 3223,0
926,9791 ridertype 34255,0
927,6025 unrankedClassis 12409,0
928,30639 suffragans 39434,1
929,42401 dipstyle 371,1
930,6119 largestmetro 22375,1
931,17415 cauldron 17418,1
932,38544 road 24236,0
933,4652 mostChamps 33826,0
934,43749 prevteam 21177,1
935,4050 sire 9401,1
936,18457 postseason 18467,1
937,42760 operatingSystem 28134,0
938,31327 stat1label 535,1
939,37122 seealso 7681,0
940,17540 mostSuccessfulClub 16554,0
941,11375 lga 15524,0
942,16093 afterElection 19151,0
943,6737 bowlname 19729,0
944,7401 mostRuns 7405,1
945,13070 rels 13071,1
946,4549 rd 24008,0
947,34436 career 18665,0
948,613 tributariesRight 10043,0
949,39260 rd3Team 10927,0
950,33099 available 980,0
951,31477 teamb 31482,1
952,16715 east 16716,1
953,6000 stat1label 23722,0
954,8856 constituencyWestminster 8480,0
955,832 postseason 17396,1
956,2772 frozenfourarena 138,1
957,36994 category 31038,1
958,3989 unitaryEngland 20868,0
959,29122 meetingPlace 5708,1
960,853 differential 15672,0
961,32291 constituency 20674,0
962,41919 leagueTopscorer 41921,1
963,7089 athletics 7091,1
964,11598 south 11601,1
